ID,Maker,Genmodel,Genmodel_ID,Adv_year,Adv_month,Color,Reg_year,Bodytype,Runned_Miles,Engin_size,Gearbox,Fuel_type,Price,Seat_num,Door_num,issue,issue_id,Adv_day,breakdown_date,repair_complexity,repair_cost,repair_hours,repair_date,value
29455,Ford,Kuga,29_25,2018,4,Green,2015,SUV,34000,2.0L,Automatic,Diesel,17290,5,5,Starter Motor Issue,0,15,2018-04-15,1,232.9,3,2018-04-15,16423.78471
41446,Fiat,500,28_2,2018,8,White,2009,Hatchback,65000,1.2L,Manual,Petrol,3980,4,3,Warning Light,0,6,2018-08-06,1,219.8,9,2018-08-08,3784.524678
42116,Fiat,500,28_2,2018,4,Black,2012,Hatchback,54491,1.2L,Manual,Petrol,4495,4,3,Flat Tyres,0,24,2018-04-24,1,21.3485,1,2018-04-24,4272.171246
32619,Citroen,DS4,21_3,2018,7,Silver,2011,Hatchback,98000,1.6L,Manual,still_Diesel_but_you_found_an_easteregg,4795,5,5,Starter Motor Issue,0,12,2018-07-12,2,167.95,6,2018-07-13,4552.297593
51078,Abarth,595,2_4,2018,6,Red,2014,Hatchback,49583,1.4L,Automatic,Petrol,11000,4,3,Brake Pads Worn,0,20,2018-06-20,2,85.5,4,2018-06-21,10447.6157
43520,Fiat,Tipo,28_28,2018,8,White,2016,Estate,7000,1.4L,Manual,Petrol,10490,5,5,Excessive Emissions,0,6,2018-08-06,1,29.441,1,2018-08-06,9961.343188
21449,Dacia,Sandero,22_3,2018,5,Brown,2016,Hatchback,3850,0.9L,Manual,Petrol,7000,5,5,Flat Tyres,0,6,2018-05-06,1,22.1,1,2018-05-06,6654.220749
34409,Ford,C-Max,29_2,2018,4,Brown,2016,MPV,7425,1.5L,Manual,Diesel,12395,5,5,Excessive Emissions,0,5,2018-04-05,1,31.1555,1,2018-04-05,11773.65453
23008,Ford,C-Max,29_2,2018,8,Black,2007,MPV,67636,1.8L,Manual,Petrol,1990,5,5,Radiator Leaking,0,16,2018-08-16,1,79.8,2,2018-08-16,1888.851767
12290,Ford,Focus,29_14,2018,7,White,2017,Hatchback,19541,1.0L,Manual,Petrol,11300,5,5,Tyre Alignment,0,22,2018-07-22,1,11.13,0.5,2018-07-22,10744.44086
30465,Ford,Focus,29_14,2018,5,Gelb,2012,Hatchback,68880,1.0L,Manual,Petrol,5999,5,5,Excessive Emissions,0,2,2018-05-02,1,25.3991,1,2018-05-02,5694.708292
48061,Ford,Ka,29_23,2018,8,Silver,2015,Hatchback,28000,1.2L,Manual,Petrol,5495,4,3,Engine Issue,2,13,2018-08-13,1,1144.25,16,2018-08-17,5225.50687
43647,Ford,C-Max,29_2,2018,3,Black,2017,MPV,1,1.0L,Manual,Petrol,12145,5,5,Tyre Alignment,0,26,2018-03-26,1,11.2145,0.5,2018-03-26,11529.80035
